Year,win-loss,num wins,num games
2003,"""0-10""",1,3,=C2/D2*100
,"""1-9""",1,6,=C3/D3*100
,"""2-8""",4,10,=C4/D4*100
,"""3-7""",6,12,=C5/D5*100
,"""4-6""",9,28,=C6/D6*100
,"""5-5""",4,9,=C7/D7*100
,"""6-4""",0,3,=C8/D8*100
,"""7-3""",0,0,0
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2004,"""0-10""",0,0,0
,"""1-9""",2,6,=C15/D15*100
,"""2-8""",8,24,=C16/D16*100
,"""3-7""",6,24,=C17/D17*100
,"""4-6""",3,16,=C18/D18*100
,"""5-5""",0,1,=C19/D19*100
,"""6-4""",0,0,0
,"""7-3""",0,0,0
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2005,"""0-10""",0,0,0
,"""1-9""",1,2,=C27/D27*100
,"""2-8""",1,4,=C28/D28*100
,"""3-7""",2,3,=C29/D29*100
,"""4-6""",3,5,=C30/D30*100
,"""5-5""",4,6,=C31/D31*100
,"""6-4""",16,20,=C32/D32*100
,"""7-3""",10,16,=C33/D33*100
,"""8-2""",3,6,=C34/D34*100
,"""9-1""",6,9,=C35/D35*100
,"""10-0""",0,0,0
,,,
2006,"""0-10""",0,0,0
,"""1-9""",1,1,=C39/D39*100
,"""2-8""",2,5,=C40/D40*100
,"""3-7""",3,10,=C41/D41*100
,"""4-6""",9,18,=C42/D42*100
,"""5-5""",10,21,=C43/D43*100
,"""6-4""",4,10,=C44/D44*100
,"""7-3""",1,1,=C45/D45*100
,"""8-2""",3,3,=C46/D46*100
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2007,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",1,2,=C52/D52*100
,"""3-7""",2,3,=C53/D53*100
,"""4-6""",7,9,=C54/D54*100
,"""5-5""",8,14,=C55/D55*100
,"""6-4""",5,10,=C56/D56*100
,"""7-3""",15,21,=C57/D57*100
,"""8-2""",5,8,=C58/D58*100
,"""9-1""",3,4,=C59/D59*100
,"""10-0""",0,0,0
,,,
2008,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",1,3,=C64/D64*100
,"""3-7""",7,7,=C65/D65*100
,"""4-6""",19,41,=C66/D66*100
,"""5-5""",2,16,=C67/D67*100
,"""6-4""",1,3,=C68/D68*100
,"""7-3""",0,0,0
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2009,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",5,7,=C77/D77*100
,"""4-6""",12,23,=C78/D78*100
,"""5-5""",9,25,=C79/D79*100
,"""6-4""",5,8,=C80/D80*100
,"""7-3""",4,7,=C81/D81*100
,"""8-2""",1,1,=C82/D82*100
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2010,"""0-10""",1,1,=C86/D86*100
,"""1-9""",2,3,=C87/D87*100
,"""2-8""",2,8,=C88/D88*100
,"""3-7""",4,9,=C89/D89*100
,"""4-6""",2,6,=C90/D90*100
,"""5-5""",8,12,=C91/D91*100
,"""6-4""",11,22,=C92/D92*100
,"""7-3""",3,7,=C93/D93*100
,"""8-2""",0,2,=C94/D94*100
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2011,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",0,0,0
,"""4-6""",0,0,0
,"""5-5""",3,3,=C103/D103*100
,"""6-4""",7,9,=C104/D104*100
,"""7-3""",15,21,=C105/D105*100
,"""8-2""",22,26,=C106/D106*100
,"""9-1""",8,12,=C107/D107*100
,"""10-0""",0,0,0
,,,
2012,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",0,0,0
,"""4-6""",0,0,0
,"""5-5""",1,1,=C115/D115*100
,"""6-4""",7,9,=C116/D116*100
,"""7-3""",9,13,=C117/D117*100
,"""8-2""",19,23,=C118/D118*100
,"""9-1""",5,9,=C119/D119*100
,"""10-0""",0,0,0
,,,
2013,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",1,1,=C125/D125*100
,"""4-6""",13,20,=C126/D126*100
,"""5-5""",6,15,=C127/D127*100
,"""6-4""",9,18,=C128/D128*100
,"""7-3""",10,16,=C129/D129*100
,"""8-2""",0,1,=C130/D130*100
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
2014,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",2,4,=C136/D136*100
,"""3-7""",2,7,=C137/D137*100
,"""4-6""",3,5,=C138/D138*100
,"""5-5""",7,9,=C139/D139*100
,"""6-4""",10,18,=C140/D140*100
,"""7-3""",11,16,=C141/D141*100
,"""8-2""",7,10,=C142/D142*100
,"""9-1""",0,2,=C143/D143*100
,"""10-0""",0,0,0
,,,
2015,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",0,0,0
,"""3-7""",0,0,0
,"""4-6""",9,13,=C150/D150*100
,"""5-5""",10,17,=C151/D151*100
,"""6-4""",10,19,=C152/D152*100
,"""7-3""",7,13,=C153/D153*100
,"""8-2""",4,5,=C154/D154*100
,"""9-1""",2,4,=C155/D155*100
,"""10-0""",0,0,0
,,,
2016,"""0-10""",0,0,0
,"""1-9""",0,0,0
,"""2-8""",1,1,=C160/D160*100
,"""3-7""",4,9,=C161/D161*100
,"""4-6""",4,11,=C162/D162*100
,"""5-5""",4,7,=C163/D163*100
,"""6-4""",10,14,=C164/D164*100
,"""7-3""",2,10,=C165/D165*100
,"""8-2""",0,0,0
,"""9-1""",0,0,0
,"""10-0""",0,0,0
,,,
